category,currency,data,image_url,in_stock,name,price,product_url,scraped_at,source,source_url
Books,GBP,{},https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,True,A Light in the Attic,51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-08-29T17:29:57.329850+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,True,Tipping the Velvet,53.74,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-08-29T17:29:57.329850+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,True,Soumission,50.1,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-08-29T17:29:57.329850+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,True,Sharp Objects,47.82,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,True,Sapiens: A Brief History of Humankind,54.23,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,True,The Requiem Red,22.65,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,True,The Dirty Little Secrets of Getting Your Dream Job,33.34,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,True,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,True,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
Books,GBP,{},https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,True,The Black Maria,52.15,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-08-29T17:29:57.330851+00:00,BooksToScrape,https://books.toscrape.com/catalogue/page-1.html
